review,sentiment,label,predicted_label,predicted_sentiment,negative_probability,positive_probability,confidence,correct
"I saw this movie a million years (5 years to be exact) ago for the first the time. In the light of recent events with the Australian woman Schapelle Corby being imprisoned in Indonesia for so called smuggling pot, I decided to watch this movie again. I excepted to cry my heart out, 'cause I'm sucker for hot girls in need (just read my review of 'the stalking of Laurie Show'). Some moist escaped my eyes, but it were hardly buckets filled with tears. Why? Not because the two heroines weren't utterly adoring and helpless, not because the movie wasn't heartbreaking at the sight of these two kids in the prime of their live locked up in almost inhuman conditions. Why then? Why did I not cry? I wanted to cry! When I rent a movie like this, I except to be moved, to sob like there's no tomorrow, to feel miserable and like it. This movie was simply too short to do this. It was just like the script was reduced to the main plot elements, and while doing this the psychological aspect was thrown aside. Clare Danes and Kate Beckinsale did an excellent job portraying the emotions of the two friends, but this movie just screamed for more footage of these girls in their depressing (and oppressing) surroundings. The mental journey is missing here for some reason. You only get to see the key moments of it (which are very touching, I admit), probably because of bad editing. Sometimes I felt these girls were walking around in a postcard. The relationship with the family members could also have used a bit more attention. What's up with the relationships between the girls and the parents (especially between Alice and her dad)? You catch a glimpse of it, but the film doesn't quite offer the whole picture, sadly enough.<br /><br />Nonetheless this was a great movie, and at the end I even had to bite my lip a bit. But I guess this has more to do with the acting skills (and the looks) of the actresses (and the music) then with the merit of the director. To be honest, I hardly knew who Kate Beckinsale was before I watched this movie (again). Now, I am a fan! Great movie, as long as you don't expect it to be classic cinema.",positive,1,0,negative,0.99801993,0.0019800398,0.99801993,False
"Well, I must say, I initially found this short to be quite average, but having watched it nearly 5 times since (its constantly shown on IFC), I've developed an enjoyment of the simple plot elements and reality of the situations presented. Sofia Coppola contributes a solid addition to the category.",negative,0,1,positive,0.0020229532,0.9979771,0.9979771,False
"Hrm-I think that line was from the old movie posters.<br /><br />This is a dumb movie that seems to have been translated from some language that was totally unfamiliar to the translator. Here's a tip: Any movie that starts with a black screen and text reading ""In the future..."" is going to be fun. This means that the premise is so implausible that they have to explain it to you.<br /><br />In this case, ""In the future..."" means that, instead of fighting wars, nations have guys climb into giant robots and duke it out to determine, well, that's never terribly clear, but it's probably something really important. There are good guys (obviously capitalists, i.e. ""us"") and bad guys (Commies!) and there are big stop-motion robots.<br /><br />Sadly, the effects budget was pretty slim, so we don't get to see a lot of the big robots. There are plenty of cheap looking interior scenes, and then a big space fight near the end. The space fight is especially nice, as it serves precisely no purpose other than the blow the remainder of the effects budget.<br /><br />With said money now spent, the climactic fight degenerates into (and I'm not making this up) two guys hitting each other with sticks. I can always get a laugh in a bar by re-enacting the final scene, complete with a last line guaranteed to leave any audience scratching their heads.<br /><br />Like I said-it's dumb. That's why I bought the tape.",positive,1,0,negative,0.997917,0.0020829707,0.997917,False
"Rocketship X-M should be viewed by any serious movie buff for the following reasons:<br /><br />1) It is one the first -- and the few -- movies not to have a happy ending. Doubtless the effect was more profound in post-World War II America than it would be today, but nonetheless the sad ending adds to the film's message.<br /><br />2) It is also one of the first movies to deal with space travel in a serious fashion, using space as a valid setting for drama. The lack of scientific background notwithstanding, the movie stands on its own as dramatic fare. It's not so much a space drama as it is a drama set in space.<br /><br />3) The anti-nuclear war message is delivered in a serious manner that is not lost in sfx involving large grasshoppers, men, or animal. The effect of Martian society from nuclear devastation is starkly and frankly presented. The fact that the survivors from the expedition crash land and as such are unable to preach the lesson learned on Mars adds another element of sadness to the tragic ending.<br /><br />Sterno says take a ride on Rocketship X-M.",negative,0,1,positive,0.0021074724,0.99789256,0.99789256,False
"If you live in the suburbs, are relatively well off financially, and do not really have much contact with the city life of england, then this is the comedy for you. Not something a mass audience would go for, but if you're like these characters they show you'll love it to pieces. Overall this is a comedy that the snobs at the BBC will sit back and laugh at for their pleasure and only a select few of the publics. Comparing it to BBC Comedys like Only Fools and Horses, Fawlty Towers, Black Adder, and other classics, this series tends to drift away from the BBC's regular product to the audience and deliver to somewhat of a folk culture.",negative,0,1,positive,0.0021198308,0.9978802,0.9978802,False
"With a cheap pound shop having just opened,i thought that it was worth looking to see if their were any cheap DVDs that looked good.and while the back of the cover made this sound like a Jeepers Creepers type of film,it is actually an anthology film! and thought one or two of the stories feel very familiar.Its still a fun light horror/comedy. The plots:<br /><br />Story one:The classic.<br /><br />A young couple feel the it is time that they should try to in prove their financial life by picking up a $1500 car.But,when the guy goes to pick a car,a car starts to talk to him.The car (called Banns) says that to get everything that he has ever wanted in life,that he must buy Baans for $5000.So while the guys relationship crumbles,Baans does everything he can to show who really is in charge.<br /><br />Story two:Kitchen culture.<br /><br />A guy that might get thrown out by his land lord,due to how messy his flat is,discovers that due to keeping a tuna pasta in his fridge for six months,the it has now moulded and evolved into a green mouldy version of himself!.And while they start off as friends,they end up having a big falling out,the leads to a final battle to see if the real guy or his fridge clone will survive.<br /><br />Story three:Too good to be true.<br /><br />A girl signs up with a dating agency and she gets matched with a guy the is perfect for her.But she is unsure that the guy is too perfect,and when she thinks that she sees him 'shut down' she starts to get spooked. View on the film:<br /><br />The first thing that i have to mention is the rating for the film in england,where it has been given an eighteen rating,even thought it has no nudity,swearing or blood at all.And the other odd thing about all the stories is that they all have happy endings,where the goodies win!.And while the first story is too close to the Stephen King classic Christine,the second story is easily the highlight of the film,with director Tom Parkinson making the nuttiness of the story feel like a low-budget Muppets episode!.<br /><br />Final view on the film<br /><br />While it does have a bit of a 'remake; feel,their is enough wackiness to make this a good horror 'comedy'.",negative,0,1,positive,0.002157342,0.99784267,0.99784267,False
"<br /><br />Well-known comedians meekly admit they wish they could do real satire like Bill Hicks. Inbetween these pitiful testimonies, we are treated to what an exceptionally talented comedian can achieve when he could otherwise be chasing fame and fortune. He didn't get his own talk show, but at least he was no one's puppet.",positive,1,0,negative,0.99783844,0.0021615506,0.99783844,False
"This series, made for Televisión Española (TVE) is basically a series of chapters in the life of an ordinary family in 1968, primarily as seen through the eyes of the youngest son.<br /><br />Based on a background of historical events, such as the May 1968 student uprising in France, the decaying Franco regime, the war in Viet-Nam, the rise of imperialism, and others specifically related to Spanish life at that particular moment, one might regard this series as a simple compilation of characteristic foibles which make themselves so apparent in this kind of entertainment.<br /><br />Generally treated in a lightweight vein though not lacking in certain moments which might be called dramatic, the series would seem to be aimed at people of around fifty who can rember those times, as, it should be stated, anyone younger either chooses to ignore such happenings or is busily occupied in other things.<br /><br />The best thing that can be said of this series is Ana Duato's rôle as mother of three children: she plays the part of the total housewife of the times really well, manifesting that peculiar Spanish penchant, especially noticeable among women, of letting all her thinking and her doings be carried forward by the impetus of her heart, without any resorting to the use of the brain. As we say in Spain, common sense is one of the least common senses. Imanol Arias offers very little, apart from not being his usual stereotyped hard policeman as in other television series. Indeed, as an actor, he should not be trusted in anything which is not a TV series. His resources are too limited; however, his part as father of the working-class household is not at all bad.<br /><br />Not really recommendable for other audiences, even Spanish-speakers in Latin America: the themes are all too parochially related to a specific spot in contemporary Spanish history, such that if the viewer was not living here at that time he will miss most of the references. It is even probable that certain situations which cause a few Spanish smiles would not mean anything to other viewers.",negative,0,1,positive,0.0022430879,0.9977569,0.9977569,False
"'Helen of Troy' follows the story of Helen and the outbreak of the Trojan War. This is more of a love story between Helen and Paris, who is shipwrecked and falls in love with Helen without knowing she is queen. The film portrays the couple as lovesick and wanting nothing more than to be together. (Other films and books have different portrayals of the characters, but in this one, they are simply hopelessly in love.) The film is pretty slow-moving in some places, but the battles and the detail to the scenery are done pretty well. There are also some good performances. I thought that the slave girl did a particularly good job, and she was one of the most well-liked characters.<br /><br />Overall, this is a good adaption if you can look beyond the slow-moving story in places and look beyond some of the cheesy romance and dialogue. In my opinion, a perfect Iliad film version has not yet been created, but this one is entertaining and does have some good bits.",negative,0,1,positive,0.0023096218,0.99769044,0.99769044,False
"Cynthia Rothrock,(China O'Brien),""Manhattan Chase"",2000, made this film enjoyable to watch and of course,e this cute petite gal burned up the screen with her artistic abilities and hot sexy body. China O'Brien gets upset as a police officer and decides to call it quits and go back home to her hometown and get back to her roots and her dad, who is the local sheriff. Her dad is getting older and the town has changed, gangsters have taken over the town and started to get the local women to start turning tricks and the city people were getting sick and tired of their town going to Hell. Well, you almost can guess what happens, and you are right, China O'Brien fights back after great tragedy strikes her life. Bad acting through out the picture, but Cynthia Rothrock brings this film to a wonderful conclusion.",negative,0,1,positive,0.0023550675,0.99764496,0.99764496,False
"This film with fine production values features secrets and how friends use each other. Henry May Long is a very well-acted, dimly lit, depressing turn-of-the-century period piece about a friendship between a fatally ill man and a melancholy, indebted junkie. Talky drawing room dramas are not my cup of tea, and all the crying wears thin. Recommended if you like independent, slyly intellectual, slow-paced Merchant Ivory-type features. <br /><br />I suspected that the main characters were in love, but their connection was so intimated, it didn't really have the emotional impact of 'Brokeback Mountain.' It features some good writing with a scene discussing how to disappear in life, but it is truly a dark and depressing film.",negative,0,1,positive,0.0024296434,0.99757034,0.99757034,False
"Finally, Timon and Pumbaa in their own film...<br /><br />'The Lion King 1 1/2: Hakuna Matata' is an irreverent new take on a classic tale. Which classic tale, you ask? Why, 'The Lion King' of course!<br /><br />Yep, if there's one thing that Disney is never short of, it's narcissism.<br /><br />But that doesn't mean that this isn't a good film. It's basically the events of 'The Lion King' as told from Timon and Pumbaa's perspective. And it's because of this that you'll have to know the story of 'The Lion King' by heart to see where they're coming from.<br /><br />Anyway, at one level I was watching this and thinking ""Oh my god this is so lame..."" and on another level I was having a ball. Much of the humour is predictable - I mean, when Pumbaa makes up two beds, a big one for himself and a small one for Timon, within the first nanosecond we all know that Timon is going to take the big one. But that doesn't stop it from being hilarious, which, IMO, is 'Hakuna Matata' in a nutshell. It's not what happens, it's how.<br /><br />And a note of warning: there are also some fart jokes. Seriously, did you expect anything else in a film where Pumbaa takes centre stage? But as fart jokes go, these are especially good, and should satisfy even the most particular connoisseur.<br /><br />The returning voice talent is great. I'm kinda surprised that some of the actors were willing to return, what with most of them only having two or three lines (if they're lucky). Whoopi Goldberg is particularly welcome.<br /><br />The music is also great. From 'Digga Tunnah' at the start to 'That's all I need', an adaption of 'Warthog Rhapsody' (a song that was cut from 'The Lion King' and is frankly much improved in this incarnation), the music leaves me with nothing to complain about whatsoever.<br /><br />In the end, Timon and Pumbaa are awesome characters, and while it may be argued that 'Hakuna Matata' is simply an excuse to see them in various fun and assorted compromising situations then so be it. It's rare to find characters that you just want to spend time with.<br /><br />Am I starting to sound creepy?<br /><br />Either way, 'The Lion King 1 1/2' is great if you've seen 'The Lion King' far too many times. Especially if you are right now thinking ""Don't be silly, there's no such thing as seeing 'The Lion King' too many times!""",positive,1,0,negative,0.9975466,0.0024534282,0.9975466,False
